date,depression,anxiety,panic attack,insomnia,loneliness,covid
2019-07-14,61,86,44,70,32,0
2019-07-21,59,72,36,84,22,0
2019-07-28,77,84,28,73,29,0
2019-08-04,51,90,44,75,43,0
2019-08-11,61,82,42,73,35,0
2019-08-18,63,92,28,52,30,0
2019-08-25,60,79,34,94,38,0
2019-09-01,70,78,29,63,32,0
2019-09-08,74,91,36,81,47,0
2019-09-15,67,84,43,69,37,0
2019-09-22,72,78,12,59,32,0
2019-09-29,69,83,19,55,19,0
2019-10-06,80,80,29,58,48,0
2019-10-13,77,100,46,66,57,0
2019-10-20,86,82,24,61,69,0
2019-10-27,80,80,17,42,40,0
2019-11-03,84,84,25,64,28,0
2019-11-10,75,91,37,64,41,0
2019-11-17,89,93,34,58,42,0
2019-11-24,70,71,53,66,26,0
2019-12-01,88,89,30,73,100,0
2019-12-08,87,90,19,81,68,0
2019-12-15,64,77,24,48,57,0
2019-12-22,55,64,12,46,31,0
2019-12-29,69,80,30,61,19,0
2020-01-05,77,84,28,67,24,0
2020-01-12,75,87,55,65,35,0
2020-01-19,79,87,38,74,33,0
2020-01-26,83,87,45,60,41,0
2020-02-02,83,80,32,56,53,0
2020-02-09,79,86,29,86,65,0
2020-02-16,84,84,25,64,41,0
2020-02-23,100,90,42,64,64,2
2020-03-01,85,85,54,64,53,4
2020-03-08,89,77,20,50,29,28
2020-03-15,82,76,26,64,43,83
2020-03-22,86,85,44,57,44,100
2020-03-29,90,86,37,60,65,96
2020-04-05,86,78,27,63,73,81
2020-04-12,82,71,32,59,55,62
2020-04-19,81,83,30,75,64,55
2020-04-26,71,94,62,100,65,47
2020-05-03,77,81,37,79,48,45
2020-05-10,67,74,31,57,33,45
2020-05-17,59,80,36,71,67,43
2020-05-24,58,77,37,65,52,41
2020-05-31,55,78,21,63,39,33
2020-06-07,60,78,30,58,46,35
2020-06-14,55,84,47,69,70,40
2020-06-21,61,82,50,56,48,54
2020-06-28,69,89,49,60,43,63
2020-07-05,75,83,100,56,0,70
