date,depression,anxiety,panic attack,insomnia,loneliness,covid
2019-07-14,26,27,0,67,56,0
2019-07-21,36,76,58,35,0,0
2019-07-28,27,48,57,0,0,0
2019-08-04,48,62,0,34,57,0
2019-08-11,44,67,56,34,0,0
2019-08-18,38,50,55,100,0,0
2019-08-25,42,54,0,53,54,0
2019-09-01,48,61,50,61,0,0
2019-09-08,61,52,51,45,51,0
2019-09-15,57,75,52,46,0,0
2019-09-22,55,48,50,45,51,0
2019-09-29,63,58,50,30,0,0
2019-10-06,39,69,50,59,100,0
2019-10-13,50,67,100,0,0,0
2019-10-20,51,68,51,31,77,0
2019-10-27,62,74,0,30,0,0
2019-11-03,48,55,51,31,0,0
2019-11-10,45,67,50,45,50,0
2019-11-17,48,79,50,61,0,0
2019-11-24,23,43,0,44,0,0
2019-12-01,50,69,75,30,0,0
2019-12-08,54,93,51,94,0,0
2019-12-15,42,58,0,0,80,0
2019-12-22,26,69,54,49,0,0
2019-12-29,42,71,47,28,48,0
2020-01-05,63,61,50,45,0,0
2020-01-12,42,62,0,28,0,0
2020-01-19,61,76,97,0,0,0
2020-01-26,92,100,95,57,0,0
2020-02-02,30,60,0,28,95,0
2020-02-09,42,77,47,57,0,0
2020-02-16,40,60,89,27,0,1
2020-02-23,25,89,71,38,96,2
2020-03-01,55,93,46,27,0,8
2020-03-08,46,64,46,42,46,43
2020-03-15,48,84,43,52,88,90
2020-03-22,49,64,41,0,41,100
2020-03-29,71,77,40,24,40,99
2020-04-05,36,80,60,36,82,87
2020-04-12,42,67,99,24,0,67
2020-04-19,36,49,0,41,41,59
2020-04-26,46,57,40,32,40,59
2020-05-03,44,48,60,24,0,57
2020-05-10,45,65,83,25,41,58
2020-05-17,44,56,0,27,0,58
2020-05-24,29,47,0,39,44,55
2020-05-31,22,50,62,37,0,46
2020-06-07,29,42,43,26,43,54
2020-06-14,32,84,47,0,46,55
2020-06-21,38,50,0,37,0,60
2020-06-28,38,65,0,54,45,69
2020-07-05,100,52,0,65,0,78
